scientific_name,park_name,observations,category,common_names,conservation_status
Vicia benghalensis,Great Smoky Mountains National Park,68,Vascular Plant,"Purple Vetch, Reddish Tufted Vetch",Não Avaliado
Neovison vison,Great Smoky Mountains National Park,77,Mammal,American Mink,Não Avaliado
Prunus subcordata,Yosemite National Park,138,Vascular Plant,Klamath Plum,Não Avaliado
Abutilon theophrasti,Bryce National Park,84,Vascular Plant,Velvetleaf,Não Avaliado
Githopsis specularioides,Great Smoky Mountains National Park,85,Vascular Plant,Common Bluecup,Não Avaliado
Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,Não Avaliado
Spizella pusilla,Yellowstone National Park,228,Bird,Field Sparrow,Não Avaliado
Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",Não Avaliado
Lysimachia quadrifolia,Yosemite National Park,168,Vascular Plant,Whorled Loosestrife,Não Avaliado
Diphyscium cumberlandianum,Yellowstone National Park,250,Nonvascular Plant,Cumberland Diphyscium Moss,Não Avaliado
Ludwigia peploides ssp. glabrescens,Bryce National Park,103,Vascular Plant,Floating Primrosewillow,Não Avaliado
Cistothorus platensis,Bryce National Park,114,Bird,Sedge Wren,Não Avaliado
Setaria viridis var. viridis,Bryce National Park,101,Vascular Plant,Green Bristlegrass,Não Avaliado
Arabis davidsonii,Yellowstone National Park,279,Vascular Plant,Davidson's Rockcress,Não Avaliado
Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,Não Avaliado
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,"Annual Honesty, Moneyplant",Não Avaliado
Lunaria annua,Great Smoky Mountains National Park,65,Vascular Plant,Annual Honesty,Não Avaliado
Quercus bicolor,Yosemite National Park,143,Vascular Plant,Swamp White Oak,Não Avaliado
Muhlenbergia rigens,Yosemite National Park,165,Vascular Plant,"Deer Muhly, Deergrass",Não Avaliado
Rubus idaeus ssp. strigosus,Yosemite National Park,150,Vascular Plant,American Red Raspberry,Não Avaliado
Polymnia canadensis,Great Smoky Mountains National Park,80,Vascular Plant,"Leaf-Cup, White-Flower Leafcup",Não Avaliado
Carduus nutans,Bryce National Park,83,Vascular Plant,Musk Thistle,Não Avaliado
Ptilium crista-castrensis,Bryce National Park,109,Nonvascular Plant,Knights Plume Moss,Não Avaliado
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Western Waterweed,Não Avaliado
Elodea nuttallii,Yosemite National Park,158,Vascular Plant,Waterweed,Não Avaliado
Larus philadelphia,Yosemite National Park,167,Bird,Bonaparte's Gull,Não Avaliado
Zizia trifoliata,Yosemite National Park,135,Vascular Plant,"Meadow Alexanders, Three-Leaved Golden Alexanders",Species of Concern
Amaranthus retroflexus,Yellowstone National Park,247,Vascular Plant,"Green Amaranthus, Red-Root Amaranth",Não Avaliado
